设备标签,数值,单位
球阀1,21.5,%
球阀1,20.2,%
球阀1,20.8,%
球阀1,21.2,%
球阀1,22.0,%
球阀1,20.5,%
球阀1,21.8,%
球阀1,21.0,%
球阀1,20.8,%
球阀1,21.3,%
球阀2,20.8,%
球阀2,21.5,%
球阀2,21.0,%
球阀2,20.3,%
球阀2,21.2,%
球阀2,20.5,%
球阀2,21.8,%
球阀2,20.9,%
球阀2,21.1,%
球阀2,20.6,%
球阀3,22.0,%
球阀3,22.3,%
球阀3,21.5,%
球阀3,22.8,%
球阀3,21.8,%
球阀3,22.5,%
球阀3,21.2,%
球阀3,22.0,%
球阀3,21.7,%
球阀3,22.3,%
阀门1,18.5,%
阀门1,19.0,%
阀门1,18.8,%
阀门1,19.3,%
阀门1,18.3,%
阀门1,19.5,%
阀门1,18.9,%
阀门1,19.2,%
阀门1,18.6,%
阀门1,19.0,%
阀门2,19.2,%
阀门2,18.8,%
阀门2,19.0,%
阀门2,18.5,%
阀门2,19.5,%
阀门2,18.7,%
阀门2,19.3,%
阀门2,18.9,%
阀门2,19.1,%
阀门2,18.6,%
阀门3,18.0,%
阀门3,19.5,%
阀门3,18.5,%
阀门3,18.8,%
阀门3,19.2,%
阀门3,18.3,%
阀门3,19.0,%
阀门3,18.6,%
阀门3,19.1,%
阀门3,18.7,%
泵1,20.0,%
泵1,20.7,%
泵1,20.3,%
泵1,19.8,%
泵1,20.5,%
泵1,20.2,%
泵1,19.9,%
泵1,20.6,%
泵1,20.1,%
泵1,20.4,%
泵2,20.5,%
泵2,20.2,%
泵2,20.0,%
泵2,20.8,%
泵2,20.3,%
泵2,20.6,%
泵2,20.1,%
泵2,20.4,%
泵2,20.7,%
泵2,20.0,%
泵3,19.8,%
泵3,21.2,%
泵3,20.5,%
泵3,19.9,%
泵3,20.8,%
泵3,20.2,%
泵3,21.0,%
泵3,20.3,%
泵3,20.6,%
泵3,20.0,%
