设备标签,数值,单位
球阀1,2.5,MPa
球阀1,2.7,MPa
球阀1,2.3,MPa
球阀1,2.9,MPa
球阀1,2.6,MPa
球阀1,2.8,MPa
球阀1,2.4,MPa
球阀1,3.1,MPa
球阀1,2.7,MPa
球阀1,2.5,MPa
球阀2,3.1,MPa
球阀2,2.9,MPa
球阀2,3.0,MPa
球阀2,3.3,MPa
球阀2,3.2,MPa
球阀2,2.8,MPa
球阀2,3.5,MPa
球阀2,3.0,MPa
球阀2,3.1,MPa
球阀2,3.4,MPa
球阀3,2.8,MPa
球阀3,3.2,MPa
球阀3,3.5,MPa
球阀3,2.6,MPa
球阀3,3.3,MPa
球阀3,2.9,MPa
球阀3,3.1,MPa
球阀3,3.4,MPa
球阀3,2.7,MPa
球阀3,3.0,MPa
阀门1,4.2,MPa
阀门1,4.4,MPa
阀门1,3.9,MPa
阀门1,4.5,MPa
阀门1,4.1,MPa
阀门1,4.3,MPa
阀门1,3.8,MPa
阀门1,4.6,MPa
阀门1,4.0,MPa
阀门1,4.2,MPa
阀门2,3.8,MPa
阀门2,3.9,MPa
阀门2,4.1,MPa
阀门2,3.7,MPa
阀门2,4.2,MPa
阀门2,3.6,MPa
阀门2,4.3,MPa
阀门2,4.0,MPa
阀门2,3.8,MPa
阀门2,4.1,MPa
阀门3,4.5,MPa
阀门3,4.1,MPa
阀门3,4.3,MPa
阀门3,4.7,MPa
阀门3,4.0,MPa
阀门3,4.4,MPa
阀门3,4.6,MPa
阀门3,4.2,MPa
阀门3,4.8,MPa
阀门3,4.5,MPa
泵1,1.8,MPa
泵1,2.0,MPa
泵1,2.2,MPa
泵1,1.9,MPa
泵1,2.1,MPa
泵1,1.7,MPa
泵1,2.3,MPa
泵1,2.0,MPa
泵1,1.8,MPa
泵1,2.1,MPa
泵2,2.1,MPa
泵2,1.8,MPa
泵2,2.0,MPa
泵2,2.3,MPa
泵2,1.9,MPa
泵2,2.2,MPa
泵2,2.1,MPa
泵2,1.7,MPa
泵2,2.4,MPa
泵2,2.0,MPa
泵3,1.9,MPa
泵3,2.2,MPa
泵3,1.7,MPa
泵3,2.0,MPa
泵3,1.9,MPa
泵3,2.3,MPa
泵3,2.1,MPa
泵3,1.8,MPa
泵3,2.2,MPa
泵3,2.0,MPa
