设备标签,数值,单位
球阀1,15.6,m³/h
球阀1,14.8,m³/h
球阀1,15.2,m³/h
球阀1,16.0,m³/h
球阀1,14.5,m³/h
球阀1,15.3,m³/h
球阀1,15.8,m³/h
球阀1,14.9,m³/h
球阀1,15.5,m³/h
球阀1,15.1,m³/h
球阀2,14.2,m³/h
球阀2,15.5,m³/h
球阀2,14.0,m³/h
球阀2,14.8,m³/h
球阀2,15.0,m³/h
球阀2,14.3,m³/h
球阀2,15.2,m³/h
球阀2,14.6,m³/h
球阀2,14.9,m³/h
球阀2,15.3,m³/h
球阀3,16.0,m³/h
球阀3,14.0,m³/h
球阀3,15.2,m³/h
球阀3,15.8,m³/h
球阀3,14.5,m³/h
球阀3,16.2,m³/h
球阀3,15.3,m³/h
球阀3,14.8,m³/h
球阀3,15.5,m³/h
球阀3,15.0,m³/h
阀门1,22.3,m³/h
阀门1,21.5,m³/h
阀门1,22.8,m³/h
阀门1,21.0,m³/h
阀门1,22.0,m³/h
阀门1,21.8,m³/h
阀门1,22.5,m³/h
阀门1,21.3,m³/h
阀门1,22.2,m³/h
阀门1,21.7,m³/h
阀门2,20.8,m³/h
阀门2,22.0,m³/h
阀门2,21.5,m³/h
阀门2,20.3,m³/h
阀门2,21.2,m³/h
阀门2,20.5,m³/h
阀门2,21.8,m³/h
阀门2,21.0,m³/h
阀门2,20.7,m³/h
阀门2,21.3,m³/h
阀门3,23.5,m³/h
阀门3,23.0,m³/h
阀门3,22.5,m³/h
阀门3,23.8,m³/h
阀门3,22.2,m³/h
阀门3,23.3,m³/h
阀门3,22.8,m³/h
阀门3,23.1,m³/h
阀门3,22.6,m³/h
阀门3,23.5,m³/h
泵1,8.5,m³/h
泵1,9.0,m³/h
泵1,8.8,m³/h
泵1,8.3,m³/h
泵1,9.2,m³/h
泵1,8.7,m³/h
泵1,9.1,m³/h
泵1,8.6,m³/h
泵1,8.9,m³/h
泵1,9.3,m³/h
泵2,9.2,m³/h
泵2,8.7,m³/h
泵2,9.0,m³/h
泵2,9.5,m³/h
泵2,8.5,m³/h
泵2,9.3,m³/h
泵2,8.8,m³/h
泵2,9.1,m³/h
泵2,9.4,m³/h
泵2,8.9,m³/h
泵3,8.8,m³/h
泵3,9.3,m³/h
泵3,9.0,m³/h
泵3,8.5,m³/h
泵3,9.1,m³/h
泵3,8.7,m³/h
泵3,9.2,m³/h
泵3,8.9,m³/h
泵3,9.5,m³/h
泵3,8.8,m³/h
