设备标签,数值,单位
球阀1,0.05,%
球阀1,0.05,%
球阀1,0.06,%
球阀1,0.04,%
球阀1,0.07,%
球阀1,0.05,%
球阀1,0.06,%
球阀1,0.04,%
球阀1,0.05,%
球阀1,0.06,%
球阀2,0.03,%
球阀2,0.04,%
球阀2,0.03,%
球阀2,0.05,%
球阀2,0.04,%
球阀2,0.03,%
球阀2,0.05,%
球阀2,0.04,%
球阀2,0.03,%
球阀2,0.05,%
球阀3,0.06,%
球阀3,0.06,%
球阀3,0.07,%
球阀3,0.05,%
球阀3,0.08,%
球阀3,0.06,%
球阀3,0.07,%
球阀3,0.05,%
球阀3,0.06,%
球阀3,0.07,%
阀门1,0.12,%
阀门1,0.11,%
阀门1,0.13,%
阀门1,0.10,%
阀门1,0.12,%
阀门1,0.11,%
阀门1,0.13,%
阀门1,0.10,%
阀门1,0.12,%
阀门1,0.11,%
阀门2,0.10,%
阀门2,0.12,%
阀门2,0.11,%
阀门2,0.10,%
阀门2,0.13,%
阀门2,0.11,%
阀门2,0.12,%
阀门2,0.10,%
阀门2,0.11,%
阀门2,0.12,%
阀门3,0.14,%
阀门3,0.13,%
阀门3,0.12,%
阀门3,0.14,%
阀门3,0.13,%
阀门3,0.11,%
阀门3,0.14,%
阀门3,0.12,%
阀门3,0.13,%
阀门3,0.14,%
泵1,0.08,%
泵1,0.09,%
泵1,0.08,%
泵1,0.10,%
泵1,0.09,%
泵1,0.08,%
泵1,0.10,%
泵1,0.09,%
泵1,0.08,%
泵1,0.09,%
泵2,0.09,%
泵2,0.08,%
泵2,0.10,%
泵2,0.09,%
泵2,0.08,%
泵2,0.10,%
泵2,0.09,%
泵2,0.08,%
泵2,0.10,%
泵2,0.09,%
泵3,0.07,%
泵3,0.08,%
泵3,0.09,%
泵3,0.07,%
泵3,0.08,%
泵3,0.10,%
泵3,0.09,%
泵3,0.07,%
泵3,0.08,%
泵3,0.09,%
